pairing_id,food_name,food_category,recommended_wine_style,recommended_grape,pairing_reason
1,sushi,japanese,crisp_white,riesling,high_acidity_matches_umami_and_cleanses_palate
2,sashimi,japanese,mineral_white,assyrtiko,saline_minerality_complements_raw_fish
3,yakitori,japanese,chillable_red,gamay,light_tannin_handles_sweet_soy_glaze
4,ramen_tonkotsu,japanese,rich_white,chardonnay,creamy_broth_matches_texture
5,tempura,japanese,sparkling_brut,chardonnay,bubbles_cut_fried_richness
6,pad_thai,thai,aromatic_white,gewurztraminer,off_dry_profile_balances_heat
7,green_curry,thai,aromatic_white,riesling,sweetness_softens_chili
8,som_tam,thai,fresh_rose,cinsault,bright_fruit_offsets_acid_and_spice
9,massaman_curry,thai,medium_red,merlot,soft_tannins_work_with_spice_and_fat
10,thai_basil_beef,thai,full_red,syrah,peppery_wine_matches_herbal_heat
11,margherita_pizza,italian,medium_red,sangiovese,high_acidity_matches_tomato_sauce
12,lasagna,italian,full_red,cabernet_sauvignon,protein_and_tannin_pair_well
13,truffle_pasta,italian,rich_white,chardonnay,oak_and_cream_match_earthy_truffle
14,risotto_mushroom,italian,medium_red,pinot_noir,earthy_notes_sync_with_mushrooms
15,osso_buco,italian,full_red,nebbiolo,firm_structure_handles_rich_stew
16,coq_au_vin,french,medium_red,pinot_noir,classic_regional_pairing
17,duck_confit,french,light_red,pinot_noir,acidity_cuts_fat
18,beef_bourguignon,french,full_red,syrah,savory_depth_matches_braise
19,bouillabaisse,french,mineral_white,vermentino,herbal_saline_profile_matches_fish_stew
20,ratatouille,french,fresh_rose,grenache,freshness_balances_vegetable_sweetness
21,burger,american,full_red,cabernet_sauvignon,tannins_bind_with_protein
22,bbq_ribs,american,bold_oaked_red,zinfandel,ripe_fruit_handles_sweet_smoke_sauce
23,fried_chicken,american,sparkling_brut,chardonnay,effervescence_cleanses_fat
24,clam_chowder,american,rich_white,chenin_blanc,weight_matches_creamy_texture
25,mac_and_cheese,american,aromatic_white,viognier,aromatic_lift_cuts_richness
26,kung_pao_chicken,chinese,aromatic_white,riesling,sweetness_offsets_heat
27,peking_duck,chinese,medium_red,pinot_noir,acidity_and_berry_fit_crispy_duck
28,dim_sum,chinese,sparkling_brut,chardonnay,bubbles_refresh_varied_bites
29,mapo_tofu,chinese,fresh_rose,grenache,chilled_rose_softens_spice
30,char_siu,chinese,medium_red,merlot,plush_fruit_matches_sweet_savory_glaze
31,fish_and_chips,british,sparkling_brut,chardonnay,acidity_cuts_fried_batter
32,shepherd_pie,british,medium_red,cabernet_franc,savory_herbal_profile_matches_lamb
33,beef_wellington,british,full_red,cabernet_sauvignon,rich_beef_needs_structure
34,tacos_al_pastor,mexican,sparkling_rose,grenache,fruit_and_acidity_balance_chili
35,mole_poblano,mexican,bold_oaked_red,syrah,spice_and_cocoa_notes_sync
36,ceviche,peruvian,crisp_white,sauvignon_blanc,citrus_driven_pairing
37,lomo_saltado,peruvian,medium_red,malbec,savory_stir_fry_prefers_round_tannins
38,feijoada,brazilian,full_red,tannat,body_stands_up_to_hearty_stew
39,churrasco,brazilian,bold_oaked_red,malbec,charred_meat_with_oak_and_fruit
40,kimchi_jjigae,korean,fresh_rose,cinsault,cool_fruit_relieves_heat
41,bulgogi,korean,medium_red,merlot,sweet_savory_marinade_with_soft_tannins
42,bibimbap,korean,crisp_white,gruner_veltliner,peppery_citrus_lifts_mixed_flavors
43,biryani,indian,medium_red,tempranillo,spice_friendly_moderate_tannin
44,butter_chicken,indian,aromatic_white,viognier,fruity_aroma_handles_creamy_spice
45,vindaloo,indian,aromatic_white,riesling,off_dry_wine_manages_high_heat
46,saag_paneer,indian,rich_white,chenin_blanc,textural_white_matches_creamy_spinach
47,kebab,turkish,full_red,syrah,savory_spice_matches_peppery_red
48,mezze_platter,middle_eastern,crisp_white,assyrtiko,acidity_handles_pickled_and_tahini_notes
49,tagine_lamb,moroccan,full_red,grenache,warm_spice_meets_ripe_red_fruit
50,couscous_vegetable,moroccan,fresh_rose,cinsault,versatile_and_refreshing
51,paella_seafood,spanish,mineral_white,albarino,saline_citrus_matches_shellfish
52,jamon_iberico,spanish,sparkling_brut,xarel_lo,acid_and_bubbles_cleanse_fat
53,patatas_bravas,spanish,fresh_rose,tempranillo,fruit_softens_smoky_heat
54,gyros,greek,medium_red,agiorgitiko,herbal_red_supports_lamb
55,moussaka,greek,full_red,xinomavro,acidity_and_tannin_match_layered_dish
56,grilled_octopus,greek,crisp_white,assyrtiko,minerality_supports_char_and_sea
57,schnitzel,german,sparkling_brut,riesling,acid_and_fizz_cut_fat
58,sausages,german,medium_red,zweigelt,peppery_red_matches_sausage_spice
59,raclette,swiss,rich_white,riesling,alpine_white_pairs_with_melted_cheese
60,fondue,swiss,crisp_white,riesling,acidity_refreshes_palate
61,smoked_salmon,nordic,sparkling_brut,chardonnay,bubbles_with_smoky_oily_fish
62,grilled_salmon,nordic,rich_white,chardonnay,weight_matches_oily_texture
63,falafel,levantine,crisp_white,sauvignon_blanc,herbal_notes_and_fresh_acid
64,hummus,levantine,aromatic_white,viognier,round_texture_complements_chickpea_creaminess
65,pho,vietnamese,crisp_white,riesling,fresh_acidity_lifts_herbs_and_broth
66,banh_mi,vietnamese,fresh_rose,gamay,bright_fruit_handles_pickles_and_chili
67,roast_turkey,holiday,medium_red,pinot_noir,acidic_red_is_versatile_with_sides
68,ham_glaze,holiday,aromatic_white,gewurztraminer,fruity_spice_balances_salt_sweetness
69,cheese_board,global,sparkling_brut,chardonnay,high_versatility_across_textures
70,dark_chocolate_torte,global,dessert_sweet,furmint,sweet_wine_needed_for_sweet_dessert
